structure_id,prompt,brick_rejections
65b14898-9992-41ef-ad0a-9fb8b6b156ec,Compact vehicle with blocky geometric contours.,227
65b14898-9992-41ef-ad0a-9fb8b6b156ec,Rectangular vehicle with squared edges and segmented structure.,171
65b14898-9992-41ef-ad0a-9fb8b6b156ec,Boxy car shape with tiered layers and rows of small projections.,262
65b14898-9992-41ef-ad0a-9fb8b6b156ec,"Rectangular car form with a blocky roof and small vertical projections on top, overhanging the main body.",1
65b14898-9992-41ef-ad0a-9fb8b6b156ec,"Box-shaped car with a prominent top, defined by small vertical peaks, and the bottom section slightly recessed, creating noticeable edges along the rectangular body.",287
1ee0d55a-fb75-46d8-8743-6ebf731c15ec,Compact car with angular build and distinct geometric lines.,301
1ee0d55a-fb75-46d8-8743-6ebf731c15ec,"The car displays a rectangular body with defined, sharp edges.",116
1ee0d55a-fb75-46d8-8743-6ebf731c15ec,An angular car featuring a block-like structure with prominent squared contours.,157
1ee0d55a-fb75-46d8-8743-6ebf731c15ec,"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",55
1ee0d55a-fb75-46d8-8743-6ebf731c15ec,"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",234
d3bc6e20-7da0-4335-9ebe-50d243c5fbbe,Compact car with angular build and distinct geometric lines.,86
d3bc6e20-7da0-4335-9ebe-50d243c5fbbe,"The car displays a rectangular body with defined, sharp edges.",1025
d3bc6e20-7da0-4335-9ebe-50d243c5fbbe,An angular car featuring a block-like structure with prominent squared contours.,263
d3bc6e20-7da0-4335-9ebe-50d243c5fbbe,"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",273
d3bc6e20-7da0-4335-9ebe-50d243c5fbbe,"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",1
32fec060-363a-45cf-b604-9d8e02ef43a3,"Toy car with blocky, angular shape and prominent front.",25
32fec060-363a-45cf-b604-9d8e02ef43a3,Rectangular toy car with squared front and layered blocks.,113
32fec060-363a-45cf-b604-9d8e02ef43a3,Blocky toy car featuring a rectangular body and tiered structure.,679
32fec060-363a-45cf-b604-9d8e02ef43a3,"Robust toy car with a cubic form, layered roof section, and protruding front.",757
32fec060-363a-45cf-b604-9d8e02ef43a3,"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",32
348ec7b7-945c-4206-b901-f449f1fe39a6,"Toy car with blocky, angular shape and prominent front.",111
348ec7b7-945c-4206-b901-f449f1fe39a6,Rectangular toy car with squared front and layered blocks.,159
348ec7b7-945c-4206-b901-f449f1fe39a6,Blocky toy car featuring a rectangular body and tiered structure.,53
348ec7b7-945c-4206-b901-f449f1fe39a6,"Robust toy car with a cubic form, layered roof section, and protruding front.",9
348ec7b7-945c-4206-b901-f449f1fe39a6,"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",32
4fc8d070-79f3-41d4-a182-61a7a1e91c86,"Compact car with a blocky, geometric form.",33
4fc8d070-79f3-41d4-a182-61a7a1e91c86,Blocky vehicle featuring rounded edges and layered surfaces.,6
4fc8d070-79f3-41d4-a182-61a7a1e91c86,"Geometric car with a tiered roof, sloped front, and squared rear.",301
4fc8d070-79f3-41d4-a182-61a7a1e91c86,"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",324
4fc8d070-79f3-41d4-a182-61a7a1e91c86,"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",27
1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc,"Compact car with a blocky, geometric form.",12
1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc,Blocky vehicle featuring rounded edges and layered surfaces.,74
1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc,"Geometric car with a tiered roof, sloped front, and squared rear.",84
1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc,"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",734
1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc,"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",174
68229605-9453-49e1-91a4-d8c766a60a38,Compact toy vehicle with angular body and simple form.,85
68229605-9453-49e1-91a4-d8c766a60a38,"Toy automobile with blocky body, prominent wheels, and minimalist roof.",58
68229605-9453-49e1-91a4-d8c766a60a38,"Brick-like vehicle featuring angular sides, rectangular roof panel, and rounded front.",72
68229605-9453-49e1-91a4-d8c766a60a38,"Toy car with a layered body, distinct cuboid cabin, cylindrical exhaust, and tiered rear end.",286
68229605-9453-49e1-91a4-d8c766a60a38,"Constructed vehicle with an angular, layered body; the cabin sits centrally. The rear is more elevated with a cylindrical exhaust, and the front has a slightly rounded shape with distinct angles, suggesting a hood. The sides are flat with an even, block-like structure.",27
98bb61c1-5bca-42cc-9739-53a64c3dd976,Compact toy vehicle with angular body and simple form.,176
