structure_id,prompt,collision,already_rejected
a4f80b0c-0ac6-4cb5-b614-089029081b59,Compact car shape with defined geometric features.,8,103
a4f80b0c-0ac6-4cb5-b614-089029081b59,Boxy car structure with a rectangular base and layered upper section.,4,2
a4f80b0c-0ac6-4cb5-b614-089029081b59,"Car displaying a rectangular main body, with angular projections on each side.",51,270,1
a4f80b0c-0ac6-4cb5-b614-089029081b59,"Rectangular car base supports a tiered upper section, with protruding vertical elements at each corner.",52,120
a4f80b0c-0ac6-4cb5-b614-089029081b59,"A car with a rectangular body and angular sides. The top section is tiered, with vertical elements at the corners. The hood and trunk areas are slightly elevated, forming a balanced geometric structure.",27,140
52a69892-4cd4-4239-b029-c371a3265b8d,Compact car shape with defined geometric features.,34,113
52a69892-4cd4-4239-b029-c371a3265b8d,Boxy car structure with a rectangular base and layered upper section.,7,55
52a69892-4cd4-4239-b029-c371a3265b8d,"Car displaying a rectangular main body, with angular projections on each side.",13,31
52a69892-4cd4-4239-b029-c371a3265b8d,"Rectangular car base supports a tiered upper section, with protruding vertical elements at each corner.",5,22
52a69892-4cd4-4239-b029-c371a3265b8d,"A car with a rectangular body and angular sides. The top section is tiered, with vertical elements at the corners. The hood and trunk areas are slightly elevated, forming a balanced geometric structure.",73,316
83442edb-9ab9-4925-9361-e43a1141fcc6,Compact car with a flat roof and blocky structure.,7,7
83442edb-9ab9-4925-9361-e43a1141fcc6,"Boxy vehicle with a flat, horizontal roof and angular edges.",39,78
83442edb-9ab9-4925-9361-e43a1141fcc6,"Angular car featuring a flat top, square front, and sloped rear.",20,184
83442edb-9ab9-4925-9361-e43a1141fcc6,"Vehicle with pronounced rectangular body, sloped trunk, square front, and flat roof.",63,283,1
83442edb-9ab9-4925-9361-e43a1141fcc6,"Car with a blocky, rectangular body, flat roof, and square front. The design includes a gently sloped rear section and raised rectangular elements on top, suggesting possible vertical features.",53,278
056c7496-fb53-4e9c-b99f-a43032bfb56b,Compact car with a flat roof and blocky structure.,11,22
056c7496-fb53-4e9c-b99f-a43032bfb56b,"Boxy vehicle with a flat, horizontal roof and angular edges.",90,225
056c7496-fb53-4e9c-b99f-a43032bfb56b,"Angular car featuring a flat top, square front, and sloped rear.",23,114
056c7496-fb53-4e9c-b99f-a43032bfb56b,"Vehicle with pronounced rectangular body, sloped trunk, square front, and flat roof.",68,496,1
056c7496-fb53-4e9c-b99f-a43032bfb56b,"Car with a blocky, rectangular body, flat roof, and square front. The design includes a gently sloped rear section and raised rectangular elements on top, suggesting possible vertical features.",13,57
df9404a2-3878-475a-81bc-2543418c9779,Compact vehicle with tiered front and rear sections.,28,79,2
df9404a2-3878-475a-81bc-2543418c9779,The vehicle features a sloped front and a stepped back.,19,72
df9404a2-3878-475a-81bc-2543418c9779,"The vehicle has a sloped hood, square rear, and layered sides.",9,24
df9404a2-3878-475a-81bc-2543418c9779,"A blocky vehicle design with a tiered front hood, flat roof, and squared rear end.",3,8
df9404a2-3878-475a-81bc-2543418c9779,"This vehicle displays a sloped hood leading to a flat roof. The sides are tiered with three distinct layers, and the rear is squared, giving it a robust, geometric form.",135,464,1
8bca6099-2547-45be-94b6-f807190f5410,"Compact vehicle with blocky, geometric form.",5
8bca6099-2547-45be-94b6-f807190f5410,"Brick-built car, rectangular body, layered construction, elevated chassis.",15,84
8bca6099-2547-45be-94b6-f807190f5410,"Angular vehicle, segmented roof, protruding bonnet, indented trunk, squared-off fenders.",60,423
8bca6099-2547-45be-94b6-f807190f5410,"Geometric car with blocky roof, stepped hood, recessed rear, squared fenders, and symmetrical bricks.",14,94
8bca6099-2547-45be-94b6-f807190f5410,"Car with a layered rectangular body. The roof is made of stacked blocks creating a segmented look, while the hood features several steps leading to an elevated front. The rear section shows an indented design, and the sides display prominently squared fenders with symmetrical brickwork.",9,59
5a2a04c1-2a5d-4dd7-9e21-6770cefb159e,"Compact vehicle with blocky, geometric form.",43,218
5a2a04c1-2a5d-4dd7-9e21-6770cefb159e,"Brick-built car, rectangular body, layered construction, elevated chassis.",2,5
5a2a04c1-2a5d-4dd7-9e21-6770cefb159e,"Angular vehicle, segmented roof, protruding bonnet, indented trunk, squared-off fenders.",5,49
5a2a04c1-2a5d-4dd7-9e21-6770cefb159e,"Geometric car with blocky roof, stepped hood, recessed rear, squared fenders, and symmetrical bricks.",1
