structure_id,prompt,brick_rejections
62617df7-621f-4bf6-84df-7085055dba16,"Compact car with a blocky, angular form.",268
62617df7-621f-4bf6-84df-7085055dba16,Brick-based vehicle with a tiered roof and rectangular windows.,133
62617df7-621f-4bf6-84df-7085055dba16,Boxy automobile featuring a layered rear and geometric front grille.,181
62617df7-621f-4bf6-84df-7085055dba16,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",171
62617df7-621f-4bf6-84df-7085055dba16,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",167
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"Compact car with a blocky, angular form.",62
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,Brick-based vehicle with a tiered roof and rectangular windows.,307
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,Boxy automobile featuring a layered rear and geometric front grille.,9
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",6
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",295
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"A minimalist car with a compact, boxy structure.",25
dedd8afe-04c6-4e95-b4ed-7df177842bb9,Compact car featuring a rectangular main body and squared edges.,179
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"Car with a box-like body, flat roof, and angular contours.",301
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"Boxy car form with a flat top, square wheels, and protruding front section.",178
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",217
37d342d0-3467-43b8-b203-5c2580462327,"A minimalist car with a compact, boxy structure.",255
37d342d0-3467-43b8-b203-5c2580462327,Compact car featuring a rectangular main body and squared edges.,439
37d342d0-3467-43b8-b203-5c2580462327,"Car with a box-like body, flat roof, and angular contours.",286
37d342d0-3467-43b8-b203-5c2580462327,"Boxy car form with a flat top, square wheels, and protruding front section.",9
37d342d0-3467-43b8-b203-5c2580462327,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",13
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,Compact vehicle with rounded edges and blocky structure.,219
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,Rectangular car form with rounded corners and layered sections.,120
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,The car features a block-like shape with a gently sloping front and squared rear.,69
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",2813
9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",1072
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,Compact vehicle with rounded edges and blocky structure.,93
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,Rectangular car form with rounded corners and layered sections.,0
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,The car features a block-like shape with a gently sloping front and squared rear.,420
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",50
22f92cf7-89aa-43c9-a60e-ecc3baa6c42d,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",0
5bec0bfc-8136-466e-805f-7e5192f0d719,Compact car with blocky geometric features.,89
5bec0bfc-8136-466e-805f-7e5192f0d719,Car form with angular contours and layered surfaces.,367
5bec0bfc-8136-466e-805f-7e5192f0d719,"Block-shaped car with a flat roof, stepped sides, and protruding front.",10
5bec0bfc-8136-466e-805f-7e5192f0d719,"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",125
5bec0bfc-8136-466e-805f-7e5192f0d719,"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",222
f4059a6f-0557-4f70-9643-811d78e48065,Compact car with blocky geometric features.,304
f4059a6f-0557-4f70-9643-811d78e48065,Car form with angular contours and layered surfaces.,536
