structure_id,prompt,brick_rejections
f2ee8b30-82a7-4fb2-b464-336411523c5d,Compact car with angular contour and layered elements.,409
f2ee8b30-82a7-4fb2-b464-336411523c5d,Angular car shape with a blocky roof and defined edges.,38
f2ee8b30-82a7-4fb2-b464-336411523c5d,"Car with a rectangular body, flat roof, and stepped detailing.",98
f2ee8b30-82a7-4fb2-b464-336411523c5d,"Car structure featuring a flat roof, rounded front, and tiered sides with distinct top panels.",93
f2ee8b30-82a7-4fb2-b464-336411523c5d,"An angular car with a rectangular body, flat top surface, and rounded front. The back tapers slightly upward with layered side elements, while the bottom is underscored by a stepped base. Reverse sloping and smooth edges define the car’s overall geometry.",94
ed874d1b-6902-40a6-8d62-a856e6ac801e,Compact car with block-like form and tiered structure.,69
ed874d1b-6902-40a6-8d62-a856e6ac801e,Small vehicle featuring a segmented exterior and angular shape.,25
ed874d1b-6902-40a6-8d62-a856e6ac801e,"Car with layered sections, squared edges, and a stepped top.",332
ed874d1b-6902-40a6-8d62-a856e6ac801e,"Vehicle showcasing parallel rows, angled slopes, and distinct tiered levels.",29
ed874d1b-6902-40a6-8d62-a856e6ac801e,"A compact car with a blocky body, featuring layered bricks forming the windows and roof. The sides slope downward slightly, while the front showcases an inset section for definition, complemented by a stepped rear design.",326
75cab4b6-65c9-4ddb-98ac-109f03c8488b,Compact car with block-like form and tiered structure.,104
75cab4b6-65c9-4ddb-98ac-109f03c8488b,Small vehicle featuring a segmented exterior and angular shape.,171
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"Car with layered sections, squared edges, and a stepped top.",104
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"Vehicle showcasing parallel rows, angled slopes, and distinct tiered levels.",156
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"A compact car with a blocky body, featuring layered bricks forming the windows and roof. The sides slope downward slightly, while the front showcases an inset section for definition, complemented by a stepped rear design.",116
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,Compact car with distinct blocky contours.,389
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,Compact vehicle featuring a rectangular body and tiered roofline.,2118
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Vehicle with a boxy frame, layered roof, and angular front section.",504
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Boxy car exhibiting a stepped roofline, straight-edged front, and squared sides.",409
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Rectangular car with angular front, layered roofline, rectangular sides, and subtly protruding wheel wells on the corners.",338
e263ce62-2ca7-4ebb-b33a-b8dff064e061,Compact car with distinct blocky contours.,37
e263ce62-2ca7-4ebb-b33a-b8dff064e061,Compact vehicle featuring a rectangular body and tiered roofline.,133
