structure_id,prompt,collision,already_rejected
f2ee8b30-82a7-4fb2-b464-336411523c5d,Compact car with angular contour and layered elements.,43,366
f2ee8b30-82a7-4fb2-b464-336411523c5d,Angular car shape with a blocky roof and defined edges.,9,29
f2ee8b30-82a7-4fb2-b464-336411523c5d,"Car with a rectangular body, flat roof, and stepped detailing.",43,55
f2ee8b30-82a7-4fb2-b464-336411523c5d,"Car structure featuring a flat roof, rounded front, and tiered sides with distinct top panels.",16,77
f2ee8b30-82a7-4fb2-b464-336411523c5d,"An angular car with a rectangular body, flat top surface, and rounded front. The back tapers slightly upward with layered side elements, while the bottom is underscored by a stepped base. Reverse sloping and smooth edges define the car’s overall geometry.",3,91
ed874d1b-6902-40a6-8d62-a856e6ac801e,Compact car with block-like form and tiered structure.,11,58
ed874d1b-6902-40a6-8d62-a856e6ac801e,Small vehicle featuring a segmented exterior and angular shape.,16,9
ed874d1b-6902-40a6-8d62-a856e6ac801e,"Car with layered sections, squared edges, and a stepped top.",37,295
ed874d1b-6902-40a6-8d62-a856e6ac801e,"Vehicle showcasing parallel rows, angled slopes, and distinct tiered levels.",17,12
ed874d1b-6902-40a6-8d62-a856e6ac801e,"A compact car with a blocky body, featuring layered bricks forming the windows and roof. The sides slope downward slightly, while the front showcases an inset section for definition, complemented by a stepped rear design.",60,264,2
75cab4b6-65c9-4ddb-98ac-109f03c8488b,Compact car with block-like form and tiered structure.,14,90
75cab4b6-65c9-4ddb-98ac-109f03c8488b,Small vehicle featuring a segmented exterior and angular shape.,35,136
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"Car with layered sections, squared edges, and a stepped top.",10,94
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"Vehicle showcasing parallel rows, angled slopes, and distinct tiered levels.",33,123
75cab4b6-65c9-4ddb-98ac-109f03c8488b,"A compact car with a blocky body, featuring layered bricks forming the windows and roof. The sides slope downward slightly, while the front showcases an inset section for definition, complemented by a stepped rear design.",36,80
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,Compact car with distinct blocky contours.,38,350,1
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,Compact vehicle featuring a rectangular body and tiered roofline.,357,1760,1
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Vehicle with a boxy frame, layered roof, and angular front section.",70,434
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Boxy car exhibiting a stepped roofline, straight-edged front, and squared sides.",67,342
ae451e06-b971-4eed-b3f4-8b5ca800b1ca,"Rectangular car with angular front, layered roofline, rectangular sides, and subtly protruding wheel wells on the corners.",58,280
e263ce62-2ca7-4ebb-b33a-b8dff064e061,Compact car with distinct blocky contours.,6,31
e263ce62-2ca7-4ebb-b33a-b8dff064e061,Compact vehicle featuring a rectangular body and tiered roofline.,36,97
e263ce62-2ca7-4ebb-b33a-b8dff064e061,"Vehicle with a boxy frame, layered roof, and angular front section.",37,132
e263ce62-2ca7-4ebb-b33a-b8dff064e061,"Boxy car exhibiting a stepped roofline, straight-edged front, and squared sides.",57,248
e263ce62-2ca7-4ebb-b33a-b8dff064e061,"Rectangular car with angular front, layered roofline, rectangular sides, and subtly protruding wheel wells on the corners.",4,25
3e899631-9c84-4ad3-9dc3-fd5619100a50,A boxy car with protruding front and rear sections.,5,84
3e899631-9c84-4ad3-9dc3-fd5619100a50,A rectangular car with elevated panels and a pronounced hood and trunk.,5,5
