structure_id,prompt,regenerations
b37748b4-fd23-4465-8b8b-d98e70819574,A compact vehicle with a block-like shape.,6
b37748b4-fd23-4465-8b8b-d98e70819574,A brick-formed automobile with a rectangular body and angular edges.,5
b37748b4-fd23-4465-8b8b-d98e70819574,"Car with a rectangular form, flat roof, front grille, and rear bumper.",5
b37748b4-fd23-4465-8b8b-d98e70819574,"Brick-built car with geometric contours, broad front, and boxy rear.",7
b37748b4-fd23-4465-8b8b-d98e70819574,"Rectangular car with geometric structure, featuring a flat top, defined front grille, protruding rear bumper, and symmetrical brick arrangement along the sides.",19
4b95d946-3118-4c57-867e-7c82420d62bb,Compact car with angular contours and tiered segments.,3
4b95d946-3118-4c57-867e-7c82420d62bb,"Geometric car with a blocky front, sloped rear, and stepped roof.",4
4b95d946-3118-4c57-867e-7c82420d62bb,"The car features a rectangular base, sloped hood, and tiered top. The front is detailed with protrusions, while the rear gradually tapers.",6
4b95d946-3118-4c57-867e-7c82420d62bb,"An angular car shaped with a flat base, curved windshield area, and tiered roofline. The front and back showcase distinct geometric protrusions.",6
4b95d946-3118-4c57-867e-7c82420d62bb,"This car displays a rectangular body with an elevated, tiered roof and a sloped front. Protruding elements on the front mirror the rear, with a subtle taper that defines the shape.",100
1c40870f-10ab-4fb6-a11e-d96533f37e35,Compact car with angular contours and tiered segments.,0
1c40870f-10ab-4fb6-a11e-d96533f37e35,"Geometric car with a blocky front, sloped rear, and stepped roof.",14
1c40870f-10ab-4fb6-a11e-d96533f37e35,"The car features a rectangular base, sloped hood, and tiered top. The front is detailed with protrusions, while the rear gradually tapers.",0
1c40870f-10ab-4fb6-a11e-d96533f37e35,"An angular car shaped with a flat base, curved windshield area, and tiered roofline. The front and back showcase distinct geometric protrusions.",2
1c40870f-10ab-4fb6-a11e-d96533f37e35,"This car displays a rectangular body with an elevated, tiered roof and a sloped front. Protruding elements on the front mirror the rear, with a subtle taper that defines the shape.",6
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Boxy car with a simple, angular exterior.",4
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,Box-shaped vehicle featuring a flat top and straight sides.,7
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,Rectangular car form with a flat roof and angular contours.,9
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Rectangular car with straight sides, flat top, uniform height, and square rear.",5
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Car with a rectangular body, flat top, and angular sides. The front features square openings resembling headlights, and the rear maintains a blocky shape. The overall form is uniform in height, with a consistent alignment of geometric edges.",5
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Boxy car with a simple, angular exterior.",46
3a01b1e5-c49e-4694-912f-3b0055860ec1,Box-shaped vehicle featuring a flat top and straight sides.,6
3a01b1e5-c49e-4694-912f-3b0055860ec1,Rectangular car form with a flat roof and angular contours.,9
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Rectangular car with straight sides, flat top, uniform height, and square rear.",11
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Car with a rectangular body, flat top, and angular sides. The front features square openings resembling headlights, and the rear maintains a blocky shape. The overall form is uniform in height, with a consistent alignment of geometric edges.",18
93d1d80e-b62e-43f4-981a-76e71d7b3722,Compact car with a rounded top and flat base.,2
93d1d80e-b62e-43f4-981a-76e71d7b3722,"A vehicle featuring a curved roof, protruding rear, and flat sides.",6
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Car with a distinct rounded rooftop, boxy rear, flat sides, and tiered front end.",3
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Automobile with a dome-shaped roof, squared-off back, straight sides, and layered front components.",22
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Car with a smoothly arched roof; rectangular rear; straight, consistent sides; and a multi-tiered, incrementally stepped front section, exhibiting a structured design.",5
dcd31761-afb2-405b-bc72-9166a4f2b75d,Compact car with a rounded top and flat base.,11
dcd31761-afb2-405b-bc72-9166a4f2b75d,"A vehicle featuring a curved roof, protruding rear, and flat sides.",21
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Car with a distinct rounded rooftop, boxy rear, flat sides, and tiered front end.",0
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Automobile with a dome-shaped roof, squared-off back, straight sides, and layered front components.",57
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Car with a smoothly arched roof; rectangular rear; straight, consistent sides; and a multi-tiered, incrementally stepped front section, exhibiting a structured design.",1
57067e02-bd87-4a83-a80c-76ba24310b9f,A blocky car with a box-like structure and roof.,2
57067e02-bd87-4a83-a80c-76ba24310b9f,"Compact car with a rectangular body, flat roof, and tiered sections.",4
57067e02-bd87-4a83-a80c-76ba24310b9f,"Box-shaped car featuring a stepped roof, pronounced front, and rear extensions.",5
57067e02-bd87-4a83-a80c-76ba24310b9f,"Rectangular car with layered roof design, extended front, and defined rear end, featuring angular sides.",3
57067e02-bd87-4a83-a80c-76ba24310b9f,"A compact car with a rectangular body, tiered roof comprising three levels, and blocky, angular features. It includes a protruding front section and a distinct rear section with a slight elevation. The sides consist of interlocking rectangular elements, providing a cohesive shape.",0
30d0bc84-0d37-4d10-8df7-f41043c5e06b,A blocky car with a box-like structure and roof.,5
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Compact car with a rectangular body, flat roof, and tiered sections.",11
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Box-shaped car featuring a stepped roof, pronounced front, and rear extensions.",6
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Rectangular car with layered roof design, extended front, and defined rear end, featuring angular sides.",19
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"A compact car with a rectangular body, tiered roof comprising three levels, and blocky, angular features. It includes a protruding front section and a distinct rear section with a slight elevation. The sides consist of interlocking rectangular elements, providing a cohesive shape.",11
a4438633-7e2c-45d7-940b-f485dd56f424,Car with prominent rectangular shape and elevated rectangular feature.,15
a4438633-7e2c-45d7-940b-f485dd56f424,Geometric car featuring a blocky body with vertical projection.,0
a4438633-7e2c-45d7-940b-f485dd56f424,Rectangular car form with extended rear and upright centered column.,9
a4438633-7e2c-45d7-940b-f485dd56f424,"Blocky car structure, rectangular base, elevated rear section, vertical pole.",7
